prefix,gloss,taccs,vaccs,bepoch,bacc,bN,bvacc,time
as=cifar10=vit=distill=single,1.5763872861862183,"[0.17886, 0.19984, 0.24104, 0.31592, 0.3726, 0.39686, 0.42838, 0.44712, 0.44998, 0.45032, 0.44982, 0.4543]","[0.2641, 0.3046, 0.3563, 0.4195, 0.4913, 0.5412, 0.5821, 0.6102, 0.6115, 0.6218, 0.6216, 0.6243]",0,0.6243,7,0.6102,505.2457900047302
as=cifar10=vit=distill=single,1.3023782968521118,"[0.23452, 0.26218, 0.32884, 0.41908, 0.4774, 0.5141, 0.55228, 0.5654, 0.57074, 0.57056, 0.57098, 0.571]","[0.2988, 0.3428, 0.3937, 0.49, 0.58, 0.6337, 0.6683, 0.6806, 0.6869, 0.688, 0.6908, 0.6894]",1,0.6908,7,0.6806,1016.5767002105713
as=cifar10=vit=distill=single,1.0241332054138184,"[0.25452, 0.28502, 0.36614, 0.44632, 0.5113, 0.55286, 0.59226, 0.60274, 0.60734, 0.60664, 0.60842, 0.60854]","[0.2913, 0.3125, 0.4376, 0.49, 0.5873, 0.635, 0.6826, 0.6947, 0.7, 0.7003, 0.7006, 0.6974]",2,0.7006,6,0.6826,1531.5592677593231
as=cifar10=vit=distill=single,1.0932040214538574,"[0.2653, 0.30316, 0.38992, 0.47018, 0.53476, 0.58034, 0.61408, 0.62686, 0.62992, 0.63184, 0.63314, 0.63266]","[0.3299, 0.3382, 0.4652, 0.5458, 0.6424, 0.6944, 0.7232, 0.7381, 0.7444, 0.7498, 0.7469, 0.7473]",3,0.7498,7,0.7381,2046.2897634506226
as=cifar10=vit=distill=single,0.8881741762161255,"[0.27524, 0.3177, 0.40642, 0.48326, 0.54612, 0.6052, 0.62998, 0.64216, 0.64886, 0.64958, 0.65056, 0.65146]","[0.3071, 0.3607, 0.4132, 0.5529, 0.6497, 0.7007, 0.7312, 0.7409, 0.7461, 0.7495, 0.7469, 0.7476]",3,0.7498,7,0.7381,2562.498638153076
as=cifar10=vit=distill=single,1.0060778856277466,"[0.27738, 0.33048, 0.41618, 0.49532, 0.55902, 0.61498, 0.64796, 0.65984, 0.66538, 0.6675, 0.66842, 0.66912]","[0.3391, 0.4025, 0.4735, 0.5877, 0.6525, 0.7252, 0.7514, 0.7599, 0.763, 0.7654, 0.7633, 0.7617]",5,0.7654,6,0.7514,3080.88347530365
as=cifar10=vit=distill=single,0.8521769046783447,"[0.29836, 0.34234, 0.42238, 0.5011, 0.5693, 0.62798, 0.66024, 0.67228, 0.67884, 0.68234, 0.6833, 0.6823]","[0.334, 0.3868, 0.4681, 0.572, 0.648, 0.7087, 0.7374, 0.7525, 0.7573, 0.7628, 0.7613, 0.762]",5,0.7654,6,0.7514,3592.324880361557
as=cifar10=vit=distill=single,0.8183233737945557,"[0.30066, 0.35226, 0.4319, 0.51146, 0.57632, 0.64286, 0.67026, 0.6831, 0.68964, 0.69026, 0.6922, 0.69192]","[0.3258, 0.4001, 0.4817, 0.5749, 0.6569, 0.7293, 0.7507, 0.7658, 0.7687, 0.7724, 0.7726, 0.7712]",7,0.7726,7,0.7658,4107.686046123505
as=cifar10=vit=distill=single,0.8644202947616577,"[0.30516, 0.3554, 0.44066, 0.51856, 0.58522, 0.65474, 0.67952, 0.69382, 0.70062, 0.7037, 0.7038, 0.70322]","[0.344, 0.4129, 0.4965, 0.5731, 0.6578, 0.7468, 0.7619, 0.782, 0.7862, 0.7908, 0.7913, 0.7876]",8,0.7913,7,0.782,4621.174726009369
as=cifar10=vit=distill=single,0.7736824750900269,"[0.3077, 0.3589, 0.44364, 0.5253, 0.59184, 0.6607, 0.68706, 0.70142, 0.70884, 0.71256, 0.71274, 0.71138]","[0.3641, 0.4275, 0.4949, 0.5761, 0.6675, 0.7379, 0.7627, 0.783, 0.7881, 0.7924, 0.7905, 0.7906]",9,0.7924,7,0.783,5134.8311603069305
as=cifar10=vit=distill=single,0.8574565052986145,"[0.31092, 0.36058, 0.44514, 0.5252, 0.59284, 0.6655, 0.69536, 0.70696, 0.7146, 0.718, 0.71908, 0.71988]","[0.3779, 0.4319, 0.5428, 0.6214, 0.7016, 0.7734, 0.7989, 0.8099, 0.8152, 0.8203, 0.8195, 0.8185]",10,0.8203,7,0.8099,5646.597241640091
as=cifar10=vit=distill=single,0.8978832960128784,"[0.3162, 0.36698, 0.45108, 0.53232, 0.59604, 0.66752, 0.7027, 0.71598, 0.72274, 0.72728, 0.7279, 0.72736]","[0.3661, 0.451, 0.5018, 0.5934, 0.6847, 0.7602, 0.7935, 0.8055, 0.8078, 0.8114, 0.8089, 0.8097]",10,0.8203,7,0.8099,6160.318507194519
as=cifar10=vit=distill=single,0.8020787239074707,"[0.3198, 0.36852, 0.4538, 0.53462, 0.60382, 0.67558, 0.70942, 0.7236, 0.7315, 0.73562, 0.73628, 0.7361]","[0.3604, 0.4379, 0.525, 0.6077, 0.6865, 0.7651, 0.797, 0.8083, 0.8174, 0.8203, 0.8218, 0.8225]",12,0.8225,7,0.8083,6669.621676445007
as=cifar10=vit=distill=single,0.7446311116218567,"[0.32226, 0.37612, 0.4545, 0.53946, 0.60702, 0.67824, 0.71754, 0.73042, 0.73838, 0.74194, 0.74304, 0.74238]","[0.375, 0.4222, 0.5019, 0.6078, 0.6872, 0.7685, 0.8018, 0.8122, 0.8108, 0.8157, 0.8188, 0.8174]",12,0.8225,7,0.8083,7184.645017385483
as=cifar10=vit=distill=single,0.9304586052894592,"[0.3233, 0.37358, 0.45814, 0.5425, 0.61074, 0.68558, 0.72358, 0.73614, 0.74532, 0.7493, 0.74948, 0.74884]","[0.3739, 0.4292, 0.5248, 0.6178, 0.7019, 0.7745, 0.8116, 0.8188, 0.8244, 0.8281, 0.8308, 0.8289]",14,0.8308,6,0.8116,7694.02007651329
as=cifar10=vit=distill=single,0.7856358289718628,"[0.32844, 0.37784, 0.45884, 0.54568, 0.61504, 0.69132, 0.73002, 0.74448, 0.75258, 0.7568, 0.7575, 0.75702]","[0.3841, 0.4495, 0.5287, 0.623, 0.6996, 0.7912, 0.8211, 0.8286, 0.8342, 0.84, 0.838, 0.8385]",15,0.84,6,0.8211,8207.273001432419
as=cifar10=vit=distill=single,0.8710945248603821,"[0.3252, 0.37776, 0.45944, 0.54368, 0.61452, 0.69736, 0.73352, 0.74758, 0.7565, 0.75972, 0.76078, 0.7601]","[0.3831, 0.4405, 0.5359, 0.626, 0.699, 0.7876, 0.8181, 0.835, 0.8389, 0.8445, 0.8459, 0.8455]",16,0.8459,7,0.835,8737.925373315811
as=cifar10=vit=distill=single,0.5390621423721313,"[0.33336, 0.38202, 0.46342, 0.54902, 0.62356, 0.70562, 0.73466, 0.75084, 0.76058, 0.76418, 0.76472, 0.7645]","[0.3939, 0.4423, 0.5402, 0.628, 0.7077, 0.7987, 0.8258, 0.8339, 0.8396, 0.8427, 0.844, 0.8428]",16,0.8459,7,0.835,9354.77221918106
as=cifar10=vit=distill=single,0.7269074320793152,"[0.33322, 0.38092, 0.4644, 0.55166, 0.62322, 0.70834, 0.74028, 0.75502, 0.7649, 0.76958, 0.76972, 0.7696]","[0.3827, 0.4416, 0.519, 0.6206, 0.7114, 0.8, 0.8231, 0.8314, 0.8383, 0.8423, 0.8451, 0.845]",16,0.8459,7,0.835,9993.455924749374
as=cifar10=vit=distill=single,0.6252822279930115,"[0.33722, 0.385, 0.46598, 0.55482, 0.62566, 0.71218, 0.74866, 0.76406, 0.77374, 0.77872, 0.77862, 0.77878]","[0.385, 0.4554, 0.5233, 0.6362, 0.7089, 0.8017, 0.8366, 0.8461, 0.8497, 0.8533, 0.8529, 0.8495]",19,0.8533,6,0.8366,10634.721962213516
as=cifar10=vit=distill=single,0.6314963102340698,"[0.3347, 0.38256, 0.4635, 0.55604, 0.62886, 0.71046, 0.75028, 0.76394, 0.7731, 0.77698, 0.7776, 0.77802]","[0.4033, 0.4509, 0.5147, 0.648, 0.7303, 0.8105, 0.8387, 0.8495, 0.8518, 0.8574, 0.8585, 0.8574]",20,0.8585,6,0.8387,11275.45479273796
as=cifar10=vit=distill=single,0.6252949237823486,"[0.33574, 0.38536, 0.46628, 0.55758, 0.6314, 0.7187, 0.75674, 0.77208, 0.78316, 0.78788, 0.7884, 0.78808]","[0.3507, 0.4513, 0.5468, 0.6353, 0.726, 0.8197, 0.8443, 0.8499, 0.8546, 0.856, 0.8588, 0.8575]",21,0.8588,6,0.8443,11920.10886335373
as=cifar10=vit=distill=single,0.6830132603645325,"[0.34232, 0.38894, 0.46994, 0.56076, 0.63564, 0.72786, 0.7619, 0.77734, 0.78748, 0.79176, 0.79216, 0.79134]","[0.358, 0.4353, 0.5187, 0.6472, 0.7229, 0.8155, 0.8396, 0.8497, 0.8558, 0.8581, 0.8564, 0.856]",21,0.8588,6,0.8443,12562.773577213287
as=cifar10=vit=distill=single,0.7191583514213562,"[0.34398, 0.3886, 0.46804, 0.55666, 0.63412, 0.7286, 0.76076, 0.77654, 0.78876, 0.79274, 0.7937, 0.7929]","[0.3956, 0.4553, 0.5331, 0.6394, 0.7218, 0.8156, 0.8328, 0.8409, 0.8424, 0.8458, 0.8482, 0.8471]",21,0.8588,6,0.8443,13089.839007377625
as=cifar10=vit=distill=single,0.6463935971260071,"[0.3392, 0.39066, 0.47088, 0.55846, 0.63832, 0.73284, 0.76744, 0.77982, 0.79252, 0.79604, 0.79654, 0.79644]","[0.3897, 0.4556, 0.535, 0.6323, 0.7261, 0.8272, 0.8458, 0.8565, 0.8571, 0.8617, 0.8626, 0.8618]",24,0.8626,6,0.8458,13604.11065530777
as=cifar10=vit=distill=single,0.5570066571235657,"[0.339, 0.3902, 0.46786, 0.56286, 0.64216, 0.74276, 0.76906, 0.78396, 0.79686, 0.80082, 0.8021, 0.8017]","[0.3886, 0.4613, 0.5547, 0.6502, 0.7372, 0.8225, 0.8421, 0.8514, 0.8559, 0.8575, 0.8578, 0.8566]",24,0.8626,6,0.8458,14119.20886182785
as=cifar10=vit=distill=single,0.6064414978027344,"[0.34466, 0.39332, 0.47094, 0.56502, 0.64546, 0.7463, 0.77308, 0.7893, 0.80074, 0.80548, 0.80482, 0.80506]","[0.3971, 0.4495, 0.5442, 0.646, 0.7399, 0.8374, 0.8562, 0.8653, 0.8691, 0.8737, 0.8739, 0.8735]",26,0.8739,6,0.8562,14635.651493310928
as=cifar10=vit=distill=single,0.46041983366012573,"[0.33732, 0.387, 0.46752, 0.56358, 0.64218, 0.74514, 0.77612, 0.79212, 0.80352, 0.80868, 0.80932, 0.80936]","[0.3702, 0.4486, 0.5579, 0.6546, 0.7423, 0.8325, 0.8522, 0.8604, 0.8642, 0.8704, 0.8707, 0.8695]",26,0.8739,6,0.8562,15148.908779382706
as=cifar10=vit=distill=single,0.5245240330696106,"[0.33964, 0.39116, 0.47238, 0.56534, 0.6466, 0.75264, 0.77824, 0.7952, 0.80544, 0.81, 0.81048, 0.8097]","[0.3958, 0.4734, 0.5547, 0.6539, 0.7241, 0.8233, 0.8348, 0.8455, 0.8496, 0.8554, 0.8572, 0.8558]",26,0.8739,6,0.8562,15661.53769159317
as=cifar10=vit=distill=single,0.6155152916908264,"[0.34456, 0.39178, 0.47234, 0.56292, 0.64362, 0.75476, 0.78342, 0.79858, 0.81088, 0.81474, 0.81608, 0.8162]","[0.4017, 0.4602, 0.5403, 0.6606, 0.7407, 0.8395, 0.8612, 0.8698, 0.8733, 0.874, 0.8751, 0.8748]",29,0.8751,6,0.8612,22855.53460407257
as=cifar10=vit=distill=single,0.5617613196372986,"[0.34226, 0.39252, 0.47138, 0.56354, 0.64508, 0.755, 0.78204, 0.80218, 0.81452, 0.81866, 0.81856, 0.81822]","[0.3928, 0.4609, 0.5589, 0.652, 0.7374, 0.8391, 0.8589, 0.8708, 0.8746, 0.8794, 0.879, 0.8774]",30,0.8794,7,0.8708,35611.62768793106
as=cifar10=vit=distill=single,0.6985641121864319,"[0.34726, 0.39634, 0.47448, 0.56844, 0.64768, 0.75926, 0.7835, 0.80254, 0.8141, 0.81922, 0.82036, 0.82014]","[0.3901, 0.4674, 0.5346, 0.6429, 0.7436, 0.8462, 0.8558, 0.8617, 0.8652, 0.8696, 0.8705, 0.8696]",30,0.8794,7,0.8708,48310.77980852127
as=cifar10=vit=distill=single,0.5972926616668701,"[0.34556, 0.3956, 0.47278, 0.56726, 0.64864, 0.75836, 0.78448, 0.80266, 0.81882, 0.82256, 0.82226, 0.82248]","[0.3975, 0.4615, 0.5534, 0.6611, 0.7456, 0.8428, 0.8648, 0.8714, 0.874, 0.8783, 0.8788, 0.8774]",30,0.8794,7,0.8708,58179.79469370842
as=cifar10=vit=distill=single,0.550873875617981,"[0.34504, 0.39234, 0.47444, 0.56594, 0.6471, 0.76004, 0.78402, 0.8063, 0.8173, 0.82332, 0.82392, 0.8238]","[0.3906, 0.4674, 0.541, 0.6621, 0.7413, 0.8409, 0.8615, 0.8739, 0.8769, 0.8775, 0.8769, 0.878]",30,0.8794,7,0.8708,61552.81688952446
as=cifar10=vit=distill=single,0.36523497104644775,"[0.34466, 0.39502, 0.47274, 0.5689, 0.64742, 0.76372, 0.79384, 0.80934, 0.82136, 0.82616, 0.82746, 0.82714]","[0.4008, 0.4684, 0.5475, 0.6644, 0.7418, 0.8447, 0.866, 0.8752, 0.8758, 0.8801, 0.8798, 0.8803]",34,0.8803,6,0.866,62068.667882442474
as=cifar10=vit=distill=single,0.4610532820224762,"[0.34564, 0.39482, 0.47298, 0.56722, 0.64812, 0.76242, 0.79818, 0.81414, 0.82678, 0.83088, 0.83138, 0.83232]","[0.3721, 0.4508, 0.5545, 0.6219, 0.7339, 0.8393, 0.8627, 0.8657, 0.8708, 0.8767, 0.8775, 0.8762]",34,0.8803,6,0.866,62584.65397953987
as=cifar10=vit=distill=single,0.4441834092140198,"[0.35092, 0.39676, 0.47476, 0.56794, 0.65274, 0.76648, 0.80068, 0.81742, 0.83102, 0.83556, 0.83596, 0.83558]","[0.3966, 0.4715, 0.5604, 0.6515, 0.7377, 0.8443, 0.864, 0.8673, 0.8713, 0.8716, 0.8735, 0.8735]",34,0.8803,6,0.866,63097.94460272789
as=cifar10=vit=distill=single,0.6114326119422913,"[0.34752, 0.3941, 0.4762, 0.57026, 0.65018, 0.76804, 0.7994, 0.81786, 0.8305, 0.83564, 0.8357, 0.83592]","[0.3875, 0.4559, 0.5492, 0.6594, 0.7479, 0.8503, 0.8704, 0.8722, 0.8773, 0.8818, 0.8818, 0.8819]",37,0.8819,6,0.8704,63609.63148379326
as=cifar10=vit=distill=single,0.6470303535461426,"[0.34688, 0.39624, 0.47226, 0.56848, 0.6478, 0.76762, 0.80492, 0.82124, 0.83492, 0.8406, 0.84, 0.84048]","[0.3863, 0.4522, 0.5509, 0.6655, 0.7472, 0.8569, 0.8706, 0.8786, 0.8806, 0.8839, 0.8854, 0.884]",38,0.8854,6,0.8706,64122.906025886536
as=cifar10=vit=distill=single,0.6275637745857239,"[0.34898, 0.39652, 0.4757, 0.5716, 0.65666, 0.77418, 0.80628, 0.82386, 0.83632, 0.84022, 0.841, 0.84168]","[0.3839, 0.4641, 0.536, 0.6465, 0.734, 0.8474, 0.8629, 0.8641, 0.8677, 0.872, 0.8723, 0.8702]",38,0.8854,6,0.8706,64636.61461186409
as=cifar10=vit=distill=single,0.5624837875366211,"[0.34764, 0.39464, 0.47462, 0.57058, 0.65238, 0.77682, 0.8057, 0.82458, 0.83846, 0.84272, 0.84348, 0.8434]","[0.3968, 0.4644, 0.5562, 0.6501, 0.7442, 0.8455, 0.8661, 0.872, 0.8737, 0.8786, 0.8782, 0.8793]",38,0.8854,6,0.8706,65150.09191155434
as=cifar10=vit=distill=single,0.4165921211242676,"[0.35552, 0.4055, 0.48394, 0.58314, 0.66954, 0.79674, 0.82726, 0.84778, 0.86094, 0.86594, 0.86694, 0.86638]","[0.4001, 0.4584, 0.5579, 0.6679, 0.7538, 0.8636, 0.8766, 0.8837, 0.8902, 0.8924, 0.893, 0.8921]",41,0.893,6,0.8766,65665.83866286278
as=cifar10=vit=distill=single,0.5637574195861816,"[0.35892, 0.41008, 0.48838, 0.58378, 0.67176, 0.80538, 0.8324, 0.8523, 0.86646, 0.87192, 0.8728, 0.8731]","[0.3926, 0.4725, 0.5654, 0.665, 0.7536, 0.8598, 0.8747, 0.8843, 0.8901, 0.894, 0.8933, 0.8914]",42,0.894,6,0.8747,66177.14239645004
as=cifar10=vit=distill=single,0.498350590467453,"[0.35602, 0.40662, 0.48638, 0.58644, 0.67402, 0.80536, 0.83366, 0.8544, 0.86836, 0.873, 0.87354, 0.87334]","[0.3995, 0.4704, 0.5596, 0.67, 0.7625, 0.8729, 0.8796, 0.8899, 0.8925, 0.8965, 0.8958, 0.8957]",43,0.8965,6,0.8796,66690.89805936813
as=cifar10=vit=distill=single,0.3404647409915924,"[0.3594, 0.4093, 0.48738, 0.58722, 0.6748, 0.80824, 0.83352, 0.85574, 0.86868, 0.8727, 0.8734, 0.87378]","[0.4013, 0.4779, 0.5526, 0.6737, 0.7621, 0.8715, 0.8832, 0.891, 0.8914, 0.8976, 0.8963, 0.8956]",44,0.8976,6,0.8832,67203.87377715111
as=cifar10=vit=distill=single,0.4621829390525818,"[0.35572, 0.40506, 0.48326, 0.58492, 0.67176, 0.80884, 0.83546, 0.85628, 0.87044, 0.87574, 0.87646, 0.87628]","[0.4051, 0.4829, 0.574, 0.6749, 0.7647, 0.8749, 0.8854, 0.892, 0.8949, 0.8974, 0.8989, 0.8978]",45,0.8989,6,0.8854,67715.50316739082
as=cifar10=vit=distill=single,0.45640864968299866,"[0.35708, 0.40594, 0.48718, 0.59124, 0.67452, 0.81116, 0.83802, 0.85942, 0.87118, 0.87602, 0.87724, 0.8773]","[0.4111, 0.4833, 0.5621, 0.6734, 0.7682, 0.8665, 0.8779, 0.8883, 0.8926, 0.8946, 0.8942, 0.8943]",45,0.8989,6,0.8854,68225.22926807404
as=cifar10=vit=distill=single,0.4948633313179016,"[0.3605, 0.40982, 0.48984, 0.58758, 0.67762, 0.80946, 0.83664, 0.85736, 0.87186, 0.87586, 0.87652, 0.8761]","[0.4185, 0.4801, 0.5645, 0.6775, 0.7616, 0.8719, 0.8856, 0.8948, 0.8951, 0.899, 0.898, 0.8984]",47,0.899,6,0.8856,68739.08579421043
as=cifar10=vit=distill=single,0.5370470881462097,"[0.35836, 0.40888, 0.48854, 0.58448, 0.67666, 0.81194, 0.84174, 0.86218, 0.87702, 0.88222, 0.8824, 0.8824]","[0.4019, 0.4734, 0.5682, 0.6708, 0.7624, 0.8696, 0.8782, 0.8884, 0.8937, 0.8997, 0.897, 0.8973]",48,0.8997,7,0.8884,69253.92340874672
as=cifar10=vit=distill=single,0.4258185029029846,"[0.36086, 0.40844, 0.48744, 0.58664, 0.673, 0.81816, 0.84198, 0.86346, 0.8774, 0.8824, 0.88288, 0.88264]","[0.4004, 0.4809, 0.5613, 0.6733, 0.7555, 0.8716, 0.8789, 0.885, 0.8924, 0.8949, 0.8954, 0.8951]",48,0.8997,7,0.8884,69766.66757798195
as=cifar10=vit=distill=single,0.26587173342704773,"[0.36146, 0.40892, 0.48634, 0.586, 0.67372, 0.81478, 0.83912, 0.86186, 0.87478, 0.87892, 0.8792, 0.87922]","[0.4106, 0.4825, 0.5754, 0.6809, 0.7669, 0.8728, 0.8835, 0.8913, 0.8959, 0.8989, 0.8992, 0.9008]",50,0.9008,6,0.8835,70279.30444335938
as=cifar10=vit=distill=single,0.45135992765426636,"[0.36166, 0.40946, 0.4887, 0.58784, 0.67552, 0.81656, 0.8456, 0.86482, 0.87856, 0.88182, 0.88266, 0.88204]","[0.4046, 0.4778, 0.5705, 0.6685, 0.7522, 0.8704, 0.8816, 0.8895, 0.893, 0.8979, 0.8965, 0.8978]",50,0.9008,6,0.8835,70795.2560544014
as=cifar10=vit=distill=single,0.42061564326286316,"[0.36442, 0.41504, 0.49346, 0.59452, 0.6841, 0.82824, 0.85428, 0.8746, 0.88828, 0.89206, 0.89288, 0.8928]","[0.408, 0.4813, 0.5738, 0.6787, 0.7673, 0.8796, 0.89, 0.899, 0.9018, 0.9073, 0.9074, 0.9062]",52,0.9074,6,0.89,71308.16334748268
as=cifar10=vit=distill=single,0.646296501159668,"[0.36646, 0.41668, 0.4937, 0.59544, 0.68426, 0.83274, 0.85506, 0.87616, 0.88958, 0.8938, 0.89404, 0.89452]","[0.4058, 0.4828, 0.5704, 0.6715, 0.7683, 0.8747, 0.8898, 0.8971, 0.8998, 0.9018, 0.9023, 0.903]",52,0.9074,6,0.89,71820.17018818855
as=cifar10=vit=distill=single,0.35885268449783325,"[0.36634, 0.41568, 0.49564, 0.5967, 0.6851, 0.832, 0.85782, 0.8776, 0.89146, 0.89546, 0.89574, 0.89572]","[0.4067, 0.4845, 0.5711, 0.6853, 0.772, 0.881, 0.8921, 0.9002, 0.9041, 0.9088, 0.9079, 0.9087]",54,0.9088,6,0.8921,72331.868029356
as=cifar10=vit=distill=single,0.3128795623779297,"[0.36562, 0.41662, 0.4938, 0.59586, 0.6878, 0.83266, 0.86014, 0.87884, 0.8936, 0.8979, 0.89894, 0.89902]","[0.4042, 0.4849, 0.5663, 0.6845, 0.7733, 0.8808, 0.892, 0.9009, 0.903, 0.9075, 0.9079, 0.9088]",54,0.9088,6,0.8921,72846.12139844894
as=cifar10=vit=distill=single,0.2828754186630249,"[0.3695, 0.41872, 0.4984, 0.59846, 0.6903, 0.83676, 0.86016, 0.88204, 0.89396, 0.89768, 0.8982, 0.89818]","[0.4063, 0.4837, 0.5795, 0.687, 0.7716, 0.8846, 0.8949, 0.9037, 0.9059, 0.9097, 0.9103, 0.9116]",56,0.9116,6,0.8949,73360.14601063728
as=cifar10=vit=distill=single,0.35492753982543945,"[0.3689, 0.42048, 0.49922, 0.6012, 0.6887, 0.8355, 0.86134, 0.88282, 0.89508, 0.89888, 0.90006, 0.90054]","[0.4099, 0.4873, 0.5759, 0.681, 0.7712, 0.8818, 0.892, 0.9002, 0.9034, 0.906, 0.9062, 0.9051]",56,0.9116,6,0.8949,73873.68970894814
as=cifar10=vit=distill=single,0.4984845519065857,"[0.36914, 0.4179, 0.49762, 0.59578, 0.69082, 0.83752, 0.86118, 0.88228, 0.8945, 0.90004, 0.90002, 0.90018]","[0.4248, 0.4916, 0.568, 0.6807, 0.7706, 0.8815, 0.8931, 0.8999, 0.9042, 0.9068, 0.9071, 0.9076]",56,0.9116,6,0.8949,74386.83333444595
